260,382,46,19
382,384,44,23
504,197,39,19
256,355,50,21
318,366,56,23
778,230,57,22
303,333,42,18
224,247,55,21
613,133,57,25
114,361,57,19
660,237,43,20
696,324,41,17
452,446,42,42
218,308,57,18
524,508,56,34
197,361,44,17
576,533,57,40
929,293,43,20
98,334,60,19
988,362,35,45
79,412,57,23
415,400,47,43
491,483,40,37
148,221,46,18
384,244,49,20
654,295,47,18
595,185,50,20
0,200,23,19
0,364,86,38
60,249,53,21
839,201,43,18
394,215,49,20
865,261,52,19
43,311,46,18
92,161,220,37
427,301,34,22
511,343,44,18
