261,382,46,19
382,384,43,23
451,196,40,18
737,232,55,22
318,366,56,23
259,353,54,24
520,507,59,34
341,332,42,19
199,361,44,18
574,533,59,40
122,361,52,18
619,238,43,20
613,134,57,23
453,447,41,41
21,252,48,19
491,483,39,37
741,323,40,18
977,292,41,19
79,413,57,22
414,400,47,45
178,247,58,22
537,344,60,20
274,308,42,17
558,186,48,19
692,293,56,20
797,202,44,19
0,364,85,37
354,216,49,18
1003,365,21,34
0,309,9,22
0,338,11,23
514,472,54,27
132,333,57,20
1006,222,18,22
317,407,48,21
468,303,37,18
46,167,220,25
