259,382,45,19
383,384,43,23
773,233,44,20
954,317,60,20
645,203,40,18
316,366,57,22
937,197,54,21
240,357,58,21
969,341,47,19
451,443,44,44
573,532,61,41
574,325,48,17
12,335,54,21
700,182,51,19
396,335,42,18
614,134,57,23
492,482,41,39
529,509,52,32
500,242,49,21
115,361,53,19
199,334,44,19
193,361,43,17
518,298,55,18
413,400,51,45
979,381,28,44
903,228,49,20
175,248,60,22
80,413,57,22
342,244,52,19
305,307,41,17
275,219,43,17
811,296,39,18
103,198,41,17
78,225,56,19
1,365,87,35
314,408,52,21
117,312,43,21
513,212,39,22
