52,409,85,38
34,470,95,33
231,514,88,35
409,454,81,34
570,504,93,36
24,645,92,33
168,688,81,34
4,745,186,71
260,740,89,36
396,637,82,31
404,740,84,35
542,683,85,34
544,731,80,37
540,783,86,39
683,750,79,38
788,624,69,38
785,786,82,46
876,827,63,66
963,696,84,43
940,914,59,74
1014,986,62,71
1108,1049,75,49
1206,1093,85,65
898,498,72,31
916,440,72,30
1139,408,85,37
1288,281,83,38
1321,380,78,37
1434,483,90,33
1257,606,87,41
1347,657,75,41
1706,475,95,36
1801,411,92,38
1819,603,79,37
2012,770,71,79
