24,345,459,59
163,460,82,33
1,521,71,33
0,642,75,33
-6,699,78,35
-3,744,201,82
217,631,99,41
280,737,82,39
349,676,90,40
411,737,92,36
331,509,88,36
632,627,79,36
583,721,72,37
540,781,97,36
683,750,85,46
753,676,86,40
786,786,82,45
873,832,66,61
944,919,59,69
1016,994,62,64
1108,1049,72,44
1219,1096,62,61
1029,621,72,32
1206,704,87,43
640,501,100,38
688,445,80,40
842,399,80,40
1111,386,77,40
1204,486,92,45
1285,278,78,43
1465,483,90,38
1580,419,83,38
1527,598,84,42
1586,657,84,41
2009,458,89,38
2070,591,34,51
