1,363,61,35
0,411,65,39
104,458,82,40
8,516,85,36
47,642,90,39
-1,745,187,77
231,686,90,41
258,740,86,38
380,739,88,37
421,637,82,36
398,460,93,34
434,406,85,36
598,508,92,34
614,678,84,46
529,734,70,36
524,783,95,39
668,753,85,38
786,786,84,46
871,832,73,71
947,922,57,69
1017,994,64,69
1109,1045,77,58
1217,1103,71,59
1004,663,84,41
873,619,84,31
926,493,80,39
778,447,87,34
1286,280,84,37
1239,435,87,33
1227,493,87,33
1444,609,83,41
1543,416,87,41
1624,367,92,37
1783,472,95,36
1848,650,79,43
1711,698,96,39
1999,809,43,89
2016,596,82,38
2047,460,49,46
